id;name;surname;birth_date;tax_code
1;ability Hat Iraq;magenta Concrete;2019-08-05T08:01:25;Directives
2;sky blue;Kenyan Shilling robust;2019-08-04T16:48:13;Functionality
3;Moroccan Dirham;capability zero tolerance Computers;2019-08-05T01:29:48;Berkshire Small Plastic Pants Investor
4;Canadian Dollar;Berkshire Designer;2019-08-05T10:19:01;Bulgarian Lev navigate
5;Re-contextualized;web-enabled invoice withdrawal;2019-08-05T03:16:04;Licensed hacking installation
6;Argentine Peso;Kentucky Algerian Dinar Clothing;2019-08-05T03:50:10;Future-proofed deposit Sausages
7;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;2019-08-04T19:04:13;Enhanced deposit parsing
8;Borders content-based;Tasty Customer Human;2019-08-05T00:55:55;B2B
9;Saint Helena Pound programming;AI optical invoice;2019-08-05T14:06:25;Cheese Dynamic Home Loan Account
10;transform;invoice Home Gloves;2019-08-05T02:57:24;Cayman Islands Dollar invoice
