id;name;email;phone
1;card Licensed Cotton Ball;Ibrahim25@yahoo.com;190-846-6401
2;Table Enterprise-wide Benin;Christ.Okuneva63@hotmail.com;576.546.7402 x53171
3;leading-edge;Alvis31@gmail.com;(971) 400-7484 x31446
4;Generic Frozen Tuna HTTP;Garnett_Armstrong@gmail.com;1-585-661-6096 x908
5;invoice multi-byte;Gilbert.Marquardt@hotmail.com;(858) 963-8969 x212
6;yellow;Aida61@yahoo.com;(306) 338-6038 x2241
7;Rupiah Personal Loan Account HTTP;Haylie.Schmitt54@hotmail.com;475.859.7413
8;quantify;Sandra_Waters@yahoo.com;467-772-1395
9;Buckinghamshire monetize;Sonia.Bradtke@gmail.com;998-033-9969
10;Missouri deposit;Audra.Greenfelder@yahoo.com;627.977.7109 x490
